timestamp,symbol,action,confidence,buy_prob,sell_prob,hold_prob
2025-09-01 04:25:48.561000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:25:48.950000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:26:49.308000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:26:49.696000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:26:50.080000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:26:50.462000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:27:50.840000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:27:51.230000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:27:51.619000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:27:51.996000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:28:52.388000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:28:52.780000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:28:53.178000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:28:53.577000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:29:53.936000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:29:54.325000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:29:54.725000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:29:55.109000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:30:55.464000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:30:55.857000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:30:56.248000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:30:56.636000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:31:56.999000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:31:57.374000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:31:57.764000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:31:58.162000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:32:58.626000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:32:59.060000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:32:59.449000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:32:59.843000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:34:00.221000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:34:00.605000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:34:00.998000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:34:01.373000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:35:01.748000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:35:02.139000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:35:02.511000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:35:02.905000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:36:03.265000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:36:03.673000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:36:04.062000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:36:04.449000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:37:04.828000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:37:05.222000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:37:05.605000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:37:06,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:38:06.373000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:38:06.765000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:38:07.140000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:38:07.527000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:39:07.906000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:39:08.297000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:39:08.690000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:39:09.077000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:40:09.450000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:40:09.844000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
