timestamp,symbol,type,amount,price,value,id,close_timestamp,pnl,pnl_percent,reason,status,duration_seconds,duration
2025-09-01 07:32:28.784000,DOGEUSDT,LONG,25.987694826499652,0.0769595,2.0,1,2025-09-01 07:32:52.935000,-2.0,-100.0,Stop Loss triggered,closed,24.151,0:00:24.151000
2025-09-01 07:33:41.232000,BTCUSDT,LONG,4.384993478440821e-05,44697.9,1.96,2,2025-09-01 07:34:01.273000,-1.96,-100.0,Stop Loss triggered,closed,20.041,0:00:20.041000
2025-09-01 07:33:42.420000,DOGEUSDT,LONG,24.958582111370266,0.0769595,1.9208,3,2025-09-01 07:34:25.402000,-1.9208,-100.0,Stop Loss triggered,closed,42.982,0:00:42.982000
2025-09-01 07:35:01.620000,BTCUSDT,LONG,4.211347736694565e-05,44697.9,1.882384,4,2025-09-01 07:35:26.888000,-1.8824,-100.0,Stop Loss triggered,closed,25.268,0:00:25.268000
2025-09-01 07:36:15.218000,BTCUSDT,LONG,4.65052151268173e-05,39667.3,1.8447363200000002,5,2025-09-01 07:36:37.972000,-1.8447,-100.0,Stop Loss triggered,closed,22.754,0:00:22.754000
2025-09-01 07:37:26.275000,BTCUSDT,LONG,4.557511082428095e-05,39667.3,1.8078415935999999,6,2025-09-01 07:37:51.481000,-1.8078,-100.0,Stop Loss triggered,closed,25.206,0:00:25.206000
2025-09-01 07:39:41.699000,ETHUSDT,LONG,0.000653852311486893,2709.61,1.7716847617280003,7,2025-09-01 07:40:03.233000,-1.7717,-100.0,Stop Loss triggered,closed,21.534,0:00:21.534000
2025-09-01 07:40:51.938000,ETHUSDT,LONG,0.000640775265257155,2709.61,1.7362510664934399,8,2025-09-01 07:41:15.440000,-1.7363,-100.0,Stop Loss triggered,closed,23.502,0:00:23.502000
2025-09-01 07:40:52.707000,DOGEUSDT,LONG,20.67864845454621,0.0822842,1.7015260451635712,9,2025-09-01 07:41:39.495000,-1.7015,-100.0,Stop Loss triggered,closed,46.788,0:00:46.788000
2025-09-01 07:42:16.172000,ETHUSDT,LONG,0.000740921421799944,2250.57,1.6674955242603,10,2025-09-01 07:42:40.041000,-1.6675,-100.0,Stop Loss triggered,closed,23.869,0:00:23.869000
2025-09-01 07:42:16.953000,DOGEUSDT,LONG,19.85977397574618,0.0822842,1.6341456137750938,11,2025-09-01 07:43:04.124000,-1.6341,-100.0,Stop Loss triggered,closed,47.171,0:00:47.171000
2025-09-01 07:43:40.779000,ETHUSDT,LONG,0.0007115809334966662,2250.57,1.6014627014995921,12,2025-09-01 07:44:04.297000,-1.6015,-100.0,Stop Loss triggered,closed,23.518,0:00:23.518000
2025-09-01 07:44:52.984000,ETHUSDT,LONG,0.000782955074816463,2004.5,1.5694334474696001,13,2025-09-01 07:45:16.797000,-1.5694,-100.0,Stop Loss triggered,closed,23.813,0:00:23.813000
2025-09-01 07:46:05.513000,ETHUSDT,LONG,0.0007672959733201337,2004.5,1.538044778520208,14,2025-09-01 07:46:29.042000,-1.538,-100.0,Stop Loss triggered,closed,23.529,0:00:23.529000
2025-09-01 07:46:06.298000,DOGEUSDT,LONG,23.384404484085525,0.0644568,1.5072838829498039,15,2025-09-01 07:46:53.141000,-1.5073,-100.0,Stop Loss triggered,closed,46.843,0:00:46.843000
2025-09-01 07:47:29.399000,BTCUSDT,LONG,3.391097206086433e-05,43559.3,1.4771382052908077,16,2025-09-01 07:47:53.658000,-1.4771,-100.0,Stop Loss triggered,closed,24.259,0:00:24.259000
2025-09-01 07:47:30.174000,SOLUSDT,LONG,0.013985618622929992,103.506,1.4475954411849918,17,2025-09-01 07:48:17.770000,-1.4476,-100.0,Stop Loss triggered,closed,47.596,0:00:47.596000
2025-09-01 07:47:30.567000,DOGEUSDT,LONG,22.00921442518543,0.0644568,1.418643532361292,18,2025-09-01 07:48:41.844000,-1.4186,-100.0,Stop Loss triggered,closed,71.277,0:01:11.277000
2025-09-01 07:49:06.064000,BTCUSDT,LONG,3.404430436328893e-05,40837.1,1.390270661714066,19,2025-09-01 07:49:30.168000,-1.3903,-100.0,Stop Loss triggered,closed,24.104,0:00:24.104000
2025-09-01 07:49:06.845000,SOLUSDT,LONG,0.013163152362952728,103.506,1.362465248479785,20,2025-09-01 07:49:54.249000,-1.3625,-100.0,Stop Loss triggered,closed,47.404,0:00:47.404000
2025-09-01 07:50:30.529000,BTCUSDT,LONG,3.2696149910502685e-05,40837.1,1.3352159435101891,21,2025-09-01 07:50:55.779000,-1.3352,-100.0,Stop Loss triggered,closed,25.25,0:00:25.250000
2025-09-01 07:50:30.906000,ETHUSDT,LONG,0.0005514073191517991,2373.04,1.3085116246399855,22,2025-09-01 07:51:19.811000,-1.3085,-100.0,Stop Loss triggered,closed,48.905,0:00:48.905000
